dropout,rmse_bps,epp_bps,time_ms
0.2,15.752072360936578,0.0,5562.107801437378
0.2,20.007227202465078,0.0,6254.6045780181885
0.2,23.255885260379223,0.0,5941.131591796875
0.4,17.802940119515746,0.0,5242.751359939575
0.4,19.46145482046146,0.0,4872.861623764038
0.4,19.52027108610647,0.0,4876.035451889038
0.6,14.55333302511094,0.0,4049.236536026001
0.6,25.659284563261515,0.0,3604.468822479248
0.6,15.136664945507064,0.0,3658.5700511932373
0.2,23.937523748270337,0.0,6217.628002166748
0.2,16.78331038037842,0.0,5788.947343826294
0.2,17.45446497493741,0.0,5964.591979980469
0.4,20.312946056561433,0.0,4647.631883621216
0.4,17.262813363810924,0.0,4998.176336288452
0.4,21.282682668300012,0.0,4978.5449504852295
0.6,25.95249228326131,0.0,3322.5204944610596
0.6,20.627553971970457,0.0,3266.2603855133057
0.6,22.108932950876945,0.0,3421.213150024414
0.2,24.44818573893816,0.0,5422.7612018585205
0.2,15.434459254163,0.0,5301.456689834595
0.2,18.74462241993681,0.0,5364.349365234375
0.4,27.99005909363627,0.0,4107.824087142944
0.4,26.843731276604572,0.0,4152.880430221558
0.4,20.1679790214259,0.0,4236.386299133301
0.6,27.3570852563853,0.0,2986.985921859741
0.6,43.57787173985675,0.0,2977.658748626709
0.6,21.307556946846468,0.0,3577.375888824463
0.2,21.241851300377174,0.0,5357.869386672974
0.2,19.09288894139512,0.0,5043.657302856445
0.2,14.455544139686573,0.0,5096.001625061035
0.4,27.507121318152873,0.0,3922.54900932312
0.4,23.055827012285032,0.0,3821.4337825775146
0.4,27.415747961004378,0.0,4016.8063640594482
0.6,31.787330082956238,0.0,2675.931692123413
0.6,26.257807867666475,0.0,3217.9830074310303
0.6,38.09147378248816,0.0,2635.9810829162598
0.2,26.17066265896934,0.0,6183.9540004730225
0.2,23.463820528761644,0.0,5445.68943977356
0.2,12.565980758508411,0.0,5070.632457733154
0.4,22.26848451029522,0.0,5156.783103942871
0.4,22.507463251905275,0.0,5226.526737213135
0.4,16.65378106078482,0.0,4527.479410171509
0.6,24.1531967963522,0.0,3799.3111610412598
0.6,15.686659194691629,0.0,3620.392322540283
0.6,14.446778575130923,0.0,3264.378309249878
0.2,23.465671750337844,0.0,6329.867839813232
0.2,21.838625424884313,0.0,6377.906560897827
0.2,13.52709455310427,0.0,6268.4619426727295
0.4,21.909131511612006,0.0,4941.405773162842
0.4,25.943893668253597,0.0,4306.096076965332
0.4,25.508239614436004,0.0,4426.804065704346
0.6,15.203986865819854,0.0,3331.7058086395264
0.6,30.680988563154116,0.0,3512.5527381896973
0.6,33.1563998560989,0.0,3772.387742996216
0.2,18.650203161932023,0.0,5524.250268936157
0.2,23.49073115379789,0.0,5053.659915924072
0.2,15.821670883462867,0.0,5772.084951400757
0.4,16.475764624924363,0.0,4386.02876663208
0.4,21.107121243002904,0.0,4482.015371322632
0.4,27.542523750717244,0.0,4691.5130615234375
0.6,19.329666990013404,0.0,2768.944501876831
0.6,23.93921923483357,0.0,3254.2026042938232
0.6,27.539025960827317,0.0,2774.111270904541
0.2,19.948287558082534,0.0,5404.452562332153
0.2,20.356752023418053,0.0,6683.025121688843
0.2,19.66971241902891,0.0,5532.787084579468
0.4,22.647907149196623,0.0,4030.7669639587402
0.4,23.288758296881724,0.0,4171.6673374176025
0.4,23.713212884890755,0.0,3924.837112426758
0.6,20.982060213583967,0.0,3221.334218978882
0.6,24.94447390310792,0.0,3058.206081390381
0.6,21.656339707266827,0.0,3079.1163444519043
0.2,22.065969018150927,0.0,5408.22958946228
0.2,15.575184676755045,0.0,5076.763868331909
0.2,15.992958941918994,0.0,5787.769556045532
0.4,17.021149620779397,0.0,4390.588045120239
0.4,15.081992042847016,0.0,4686.599493026733
0.4,17.274598190770508,0.0,4055.3135871887207
0.6,18.04971512256668,0.0,3249.396562576294
0.6,20.094920854226327,0.0,2704.52880859375
0.6,17.160881284980075,0.0,3763.6284828186035
0.2,22.89756457986542,0.0,5139.373064041138
0.2,19.185613558414236,0.0,5295.700788497925
0.2,15.022851944423643,0.0,5710.49952507019
0.4,22.72320040947279,0.0,4254.581689834595
0.4,26.28196000036578,0.0,3972.1591472625732
0.4,14.898108925674922,0.0,4546.374797821045
0.6,22.022952146987876,0.0,3308.5126876831055
0.6,31.700183159548974,0.0,2895.4715728759766
0.6,17.069879611363085,0.0,3919.0073013305664
0.2,18.627645930165855,0.0,6061.412334442139
0.2,19.057030146427543,0.0,5212.188720703125
0.2,24.355748880301338,0.0,5660.021781921387
0.4,22.79230223112568,0.0,4217.237949371338
0.4,17.685920831853405,0.0,4178.89404296875
0.4,31.398975897503643,0.0,4508.022308349609
0.6,20.539531183085632,0.0,3625.436544418335
0.6,17.08067600005285,0.0,2834.8777294158936
0.6,27.1926841753809,0.0,3647.01771736145
0.2,25.26002188102878,0.0,5958.0090045928955
0.2,20.488157433668402,0.0,5321.913719177246
0.2,15.827027350870374,0.0,5204.1332721710205
0.4,25.66302398379659,0.0,4714.955568313599
0.4,22.235452657879335,0.0,3904.0067195892334
0.4,22.258433463840365,0.0,4944.023609161377
0.6,25.398294221029367,0.0,3497.351884841919
0.6,35.5764632139791,0.0,2946.341037750244
0.6,18.80458557989869,0.0,3429.330348968506
0.2,16.614271031807846,0.0,4656.671047210693
0.2,14.951999502922906,0.0,5055.948972702026
0.2,11.114824144492557,0.0,5207.755088806152
0.4,15.563092981342564,0.0,4741.318225860596
0.4,19.05770039938432,0.0,4404.361724853516
0.4,15.682450722663654,0.0,4002.2027492523193
0.6,15.8062145246594,0.0,2956.902027130127
0.6,17.426225293584807,0.0,2655.2698612213135
0.6,27.714763576184197,0.0,3365.809202194214
0.2,17.933635473293286,0.0,5485.646963119507
0.2,21.722116253022246,0.0,5140.047311782837
0.2,21.967990143369665,0.0,4883.708953857422
0.4,28.087111285574725,0.0,3919.1384315490723
0.4,19.850117102359306,0.0,4898.559331893921
0.4,26.783563491231305,0.0,3642.2109603881836
0.6,31.661419686260626,0.0,3233.869791030884
0.6,25.950347276012913,0.0,3295.910120010376
0.6,47.01801943190439,0.0,2857.593059539795
0.2,22.09722554308173,0.0,5114.646434783936
0.2,20.887380068329225,0.0,5274.365425109863
