model,dropout,surface,trial,rmse_bps,epp_bps,time_ms,epochs_trained
ICNN,0.6,4,2,626.194453713405,0.0,2799.567461013794,231
ICNN,0.2,5,0,827.3984749095464,0.0,2365.8907413482666,188
ICNN,0.2,5,1,799.6131964871657,0.0,2903.6738872528076,225
ICNN,0.2,5,2,490.5956372670973,0.0,2767.052173614502,215
ICNN,0.4,5,0,686.4772162637496,0.0,2938.603639602661,235
ICNN,0.4,5,1,730.2921347812322,0.0,2192.397356033325,176
ICNN,0.4,5,2,663.5998114391914,0.0,2295.7191467285156,181
ICNN,0.6,5,0,725.376500682623,0.0,2296.828269958496,192
ICNN,0.6,5,1,801.4757538580714,0.0,2111.2847328186035,175
ICNN,0.6,5,2,769.0388669248096,0.0,2088.7575149536133,171
ICNN,0.2,6,0,590.2184198512975,0.0,2668.0519580841064,166
ICNN,0.2,6,1,647.5651775093718,0.0,2832.04984664917,219
ICNN,0.2,6,2,583.8128680818379,0.0,2233.823299407959,177
ICNN,0.4,6,0,745.0044869925794,0.0,2239.8011684417725,182
ICNN,0.4,6,1,664.0789455478224,0.0,2650.0258445739746,212
ICNN,0.4,6,2,602.2835941008963,0.0,2640.0485038757324,213
ICNN,0.6,6,0,813.4489609685277,0.0,2670.551300048828,180
ICNN,0.6,6,1,853.6298208388091,0.0,2424.9813556671143,186
ICNN,0.6,6,2,777.503212900703,0.0,3061.1634254455566,250
ICNN,0.2,7,0,660.6985688232772,0.0,2357.8128814697266,187
ICNN,0.2,7,1,712.872302451178,0.0,2878.091335296631,214
ICNN,0.2,7,2,770.7378947252053,0.0,2991.122007369995,218
ICNN,0.4,7,0,751.8263097581106,0.0,2082.259178161621,167
ICNN,0.4,7,1,787.4655124997352,0.0,2456.2292098999023,198
ICNN,0.4,7,2,698.5351595828769,0.0,2717.564344406128,221
ICNN,0.6,7,0,703.8219360103897,0.0,2210.8452320098877,178
ICNN,0.6,7,1,581.3562874362761,0.0,2268.326997756958,188
ICNN,0.6,7,2,619.2183346783472,0.0,2787.5163555145264,230
ICNN,0.2,8,0,706.4174321096237,0.0,2835.547685623169,217
ICNN,0.2,8,1,502.0257420028132,0.0,2245.380401611328,175
ICNN,0.2,8,2,297.3280131398871,0.0,2527.453660964966,200
ICNN,0.4,8,0,810.2468657822126,0.0,2470.491886138916,198
ICNN,0.4,8,1,538.6023345305074,0.0,2659.489393234253,212
ICNN,0.4,8,2,589.9491517813487,0.0,2530.7106971740723,193
ICNN,0.6,8,0,574.6512738470623,0.0,2472.3947048187256,206
ICNN,0.6,8,1,549.4509231021148,0.0,2084.5577716827393,172
ICNN,0.6,8,2,441.1166694080818,0.0,2334.728479385376,191
ICNN,0.2,9,0,566.4503378859652,0.0,2275.8593559265137,176
ICNN,0.2,9,1,611.682820664983,0.0,1942.3737525939941,152
ICNN,0.2,9,2,445.46425550657494,0.0,2451.02858543396,185
ICNN,0.4,9,0,613.7026638590144,0.0,2346.8573093414307,187
ICNN,0.4,9,1,601.61445782328,0.0,2522.4609375,200
ICNN,0.4,9,2,546.4318111805162,0.0,2182.3112964630127,173
ICNN,0.6,9,0,444.1388150719458,0.0,2272.3445892333984,186
ICNN,0.6,9,1,638.9651724974235,0.0,2469.930410385132,206
ICNN,0.6,9,2,448.0546190660812,0.0,2560.9517097473145,193
ICNN,0.2,10,0,510.92605453545275,0.0,2696.0299015045166,195
ICNN,0.2,10,1,429.9387163329348,0.0,2537.414073944092,187
