Phase,Mean (ms),Std (ms)
Data loading,0.5428000000241203,0.13527966087313356
Model init,0.11143333335894567,0.0703443592883379
Training (fwd+bwd),16658.56036666658,148.6644869792996
EPP post-check,44.032666666604804,58.46686508125535
Total,16703.247266666567,101.87610605758739
