model,dropout,rmse_bps,epp_bps,time_ms
AH,0.6,1194.493351767301,0.0,21.00658416748047
AH (PL),0.6,13950.384213935129,0.0,1922.7821826934814
AH,0.2,722.0419330419994,0.0,35.52079200744629
AH (PL),0.2,14071.373951337438,0.0,3454.3991088867188
AH,0.2,908.4447318032542,0.0,34.00778770446777
AH (PL),0.2,11819.054878904148,0.0,3135.3650093078613
AH,0.4,1063.401862885641,0.0,27.713775634765625
AH (PL),0.4,13875.056658318894,0.0,2506.1657428741455
AH,0.4,894.4688892005139,0.0,24.51181411743164
AH (PL),0.4,10421.097002856926,0.0,2285.92848777771
AH,0.6,869.0921272973789,0.0,18.010854721069336
AH (PL),0.6,14428.191505142846,0.0,1629.3859481811523
AH,0.6,791.7023138540493,0.0,18.007516860961914
AH (PL),0.6,7651.069203958128,0.0,1660.2957248687744
AH,0.2,864.2952501908467,0.0,37.52589225769043
AH (PL),0.2,17450.514842081615,0.0,3677.452325820923
AH,0.2,1877.7478577893992,0.0,37.86611557006836
AH (PL),0.2,13274.541945527208,0.0,3594.7227478027344
AH,0.4,832.6291326306869,0.0,30.018091201782227
AH (PL),0.4,16505.219604544985,0.0,2725.1217365264893
AH,0.4,1420.2402770329081,0.0,31.008243560791016
AH (PL),0.4,11237.096767279032,0.0,2816.8785572052
AH,0.6,915.6244258618333,0.0,20.007610321044922
AH (PL),0.6,13591.712769992528,0.0,1829.6504020690918
AH,0.6,654.9427977720702,0.0,22.797346115112305
AH (PL),0.6,12418.903631891772,0.0,2081.4359188079834
AH,0.2,953.0976606548624,0.0,37.514686584472656
AH (PL),0.2,12966.546285013694,0.0,3536.266088485718
AH,0.2,1357.8452014841596,0.0,36.5142822265625
AH (PL),0.2,14386.759592121021,0.0,3480.8695316314697
AH,0.4,792.4098601114149,0.0,28.44691276550293
AH (PL),0.4,12738.28600951274,0.0,2672.757148742676
AH,0.4,1531.162133078205,0.0,27.953147888183594
AH (PL),0.4,11846.642829123006,0.0,2549.588441848755
AH,0.6,731.1689192000905,0.0,19.52338218688965
AH (PL),0.6,10378.768762572967,0.0,1764.7149562835693
AH,0.6,1101.842521169925,0.0,18.01133155822754
AH (PL),0.6,12469.493108721277,0.0,1646.3515758514404
AH,0.2,1424.9193550734722,0.0,34.02447700500488
AH (PL),0.2,14583.889227236295,0.0,3160.212993621826
AH,0.2,1196.8800355096816,0.0,36.48185729980469
AH (PL),0.2,16324.36335905452,0.0,3363.3837699890137
AH,0.4,4070.2085468802616,0.0,26.515722274780273
AH (PL),0.4,13284.528058244183,0.0,2497.152328491211
AH,0.4,4003.6497283462386,0.0,25.516748428344727
AH (PL),0.4,13218.463306583708,0.0,2445.871114730835
AH,0.6,529.8709074807637,0.0,17.54593849182129
AH (PL),0.6,11340.023464170974,0.0,1542.1719551086426
AH,0.6,1131.2648850099438,0.0,21.54231071472168
AH (PL),0.6,10549.801326664721,0.0,1922.4514961242676
AH,0.2,666.6742447961512,0.0,37.52493858337402
AH (PL),0.2,12334.110307908853,0.0,3530.8852195739746
AH,0.2,648.9041645516191,0.0,36.966800689697266
AH (PL),0.2,12940.321219649148,0.0,3513.7040615081787
AH,0.4,968.134001821386,0.0,28.5184383392334
AH (PL),0.4,12324.604203850864,0.0,2593.7840938568115
AH,0.4,741.7085766318872,0.0,25.515079498291016
AH (PL),0.4,9453.480172169546,0.0,2368.6416149139404
AH,0.6,616.9445017270641,0.0,18.003225326538086
AH (PL),0.6,9907.086865100442,0.0,1685.6129169464111
AH,0.6,642.0211719778985,0.0,20.318269729614258
AH (PL),0.6,10773.484527571076,0.0,1656.526803970337
AH,0.2,1065.5134881261972,0.0,40.01021385192871
AH (PL),0.2,11766.111458939979,0.0,3939.366102218628
AH,0.2,2070.7540975300785,0.0,36.521196365356445
AH (PL),0.2,14884.957322159193,0.0,3536.4322662353516
AH,0.4,908.4191232162436,0.0,30.51590919494629
AH (PL),0.4,12449.47639203697,0.0,2926.6297817230225
AH,0.4,1563.4450037203414,0.0,28.533458709716797
AH (PL),0.4,10718.125095985613,0.0,2755.168914794922
AH,0.6,904.2250576162673,0.0,22.510051727294922
AH (PL),0.6,12571.51961344904,0.0,2045.732021331787
AH,0.6,1184.0482450929067,0.0,19.00458335876465
AH (PL),0.6,12205.113193102383,0.0,1683.1450462341309
AH,0.2,1267.9362925351932,0.0,37.01925277709961
AH (PL),0.2,13664.36373880046,0.0,3480.1676273345947
AH,0.2,1402.7793594130271,0.0,40.52853584289551
AH (PL),0.2,15707.235124118091,0.0,3550.4066944122314
AH,0.4,1166.3281578323067,0.0,29.529094696044922
AH (PL),0.4,14212.763525529732,0.0,2725.165843963623
AH,0.4,845.4425681299851,0.0,26.516199111938477
AH (PL),0.4,13300.59484511827,0.0,2490.803003311157
AH,0.6,805.1944222833793,0.0,21.00205421447754
AH (PL),0.6,11917.50805343663,0.0,1881.9386959075928
AH,0.6,840.2673801760724,0.0,18.00394058227539
AH (PL),0.6,9948.552456387077,0.0,1509.963035583496
AH,0.2,870.1274961314032,0.0,39.01243209838867
AH (PL),0.2,16773.52772424504,0.0,3696.7406272888184
AH,0.2,974.3165800415762,0.0,36.02433204650879
AH (PL),0.2,14033.522981102164,0.0,3399.1689682006836
AH,0.4,698.721475718542,0.0,30.006885528564453
AH (PL),0.4,14982.71405204401,0.0,2677.121162414551
AH,0.4,590.4600683699715,0.0,25.004863739013672
AH (PL),0.4,11795.590475457544,0.0,2341.647148132324
AH,0.6,1163.0160810954796,0.0,22.011518478393555
AH (PL),0.6,11072.053827981546,0.0,2032.3591232299805
AH,0.6,717.8964734777107,0.0,18.52130889892578
AH (PL),0.6,8880.389611606248,0.0,1643.6517238616943
AH,0.2,1616.3845786228062,0.0,35.512447357177734
AH (PL),0.2,15217.880922514081,0.0,3453.718900680542
AH,0.2,714.8258228361242,0.0,37.52636909484863
AH (PL),0.2,13782.243734028025,0.0,3648.425579071045
AH,0.4,724.7664999909437,0.0,28.00583839416504
AH (PL),0.4,11655.405203458018,0.0,2604.67529296875
AH,0.4,545.2762358045751,0.0,27.015209197998047
AH (PL),0.4,11826.05994752169,0.0,2509.3045234680176
AH,0.6,800.5194729080584,0.0,20.51568031311035
AH (PL),0.6,13167.53153767268,0.0,1949.5761394500732
AH,0.6,737.5976495869531,0.0,20.0045108795166
AH (PL),0.6,11215.195060288472,0.0,1868.4780597686768
AH,0.2,660.4417663200051,0.0,39.73388671875
AH (PL),0.2,18124.49622209406,0.0,3578.3286094665527
AH,0.2,869.4843469437177,0.0,36.01527214050293
AH (PL),0.2,14628.267387058626,0.0,3350.7397174835205
AH,0.4,887.6942345955323,0.0,29.515504837036133
AH (PL),0.4,15328.880834399146,0.0,2741.1773204803467
AH,0.4,802.8069747819131,0.0,28.00583839416504
AH (PL),0.4,13570.005337241124,0.0,2590.794801712036
AH,0.6,887.8775236428186,0.0,19.011259078979492
AH (PL),0.6,13583.97586959557,0.0,1732.2094440460205
AH,0.6,742.3105587637907,0.0,20.00904083251953
AH (PL),0.6,11364.913530561369,0.0,1613.1503582000732
AH,0.2,1264.3685816715135,0.0,37.52017021179199
AH (PL),0.2,13383.715900118179,0.0,3599.6179580688477
AH,0.2,1098.7733385508152,0.0,38.01274299621582
AH (PL),0.2,13923.100111197784,0.0,3652.7349948883057
AH,0.4,738.0866526584175,0.0,28.516054153442383
AH (PL),0.4,12477.527131545865,0.0,2652.665853500366
AH,0.4,1025.1581358298386,0.0,32.00697898864746
AH (PL),0.4,13272.975028921019,0.0,3026.9956588745117
AH,0.6,1452.2772943173711,0.0,22.003889083862305
AH (PL),0.6,13033.351799404909,0.0,2082.3652744293213
AH,0.6,4554.8779832907885,0.0,23.018360137939453
AH (PL),0.6,11094.368303663698,0.0,2056.7009449005127
AH,0.2,1027.6194479865244,0.0,37.01639175415039
AH (PL),0.2,11997.186211798278,0.0,3421.7028617858887
AH,0.2,904.6281926158159,0.0,39.015769958496094
AH (PL),0.2,13779.461458087679,0.0,3747.5311756134033
AH,0.4,903.2337304230277,0.0,29.0071964263916
AH (PL),0.4,13335.594733746586,0.0,2659.543037414551
AH,0.4,1218.884888060979,0.0,29.016971588134766
AH (PL),0.4,12291.615788470037,0.0,2644.364595413208
AH,0.6,2554.0732848179387,0.0,19.515037536621094
AH (PL),0.6,12288.507785377358,0.0,1760.256290435791
AH,0.6,637.5214873051474,0.0,20.994186401367188
AH (PL),0.6,13253.327218255185,0.0,1966.6321277618408
AH,0.2,503.0192994612044,0.0,34.51108932495117
AH (PL),0.2,11169.396363566875,0.0,3183.0804347991943
AH,0.2,933.833429464561,0.0,37.52589225769043
AH (PL),0.2,12192.14693104124,0.0,3408.649206161499
AH,0.4,691.8712115554754,0.0,29.01482582092285
AH (PL),0.4,10542.995104389563,0.0,2654.179573059082
AH,0.4,818.4642036302444,0.0,28.208494186401367
AH (PL),0.4,11298.982565280843,0.0,2576.5180587768555
AH,0.6,792.2113467391787,0.0,19.52528953552246
AH (PL),0.6,12261.786533784318,0.0,1754.4739246368408
AH,0.6,1490.8295721526554,0.0,22.50814437866211
AH (PL),0.6,13436.460562191043,0.0,2079.8375606536865
AH,0.2,623.5854358389204,0.0,40.297508239746094
AH (PL),0.2,11615.221675704333,0.0,3821.8297958374023
AH,0.2,753.3173927006715,0.0,37.5216007232666
AH (PL),0.2,13901.434598816031,0.0,3457.371711730957
AH,0.4,785.2091327074144,0.0,30.512571334838867
AH (PL),0.4,9648.073892635106,0.0,2848.4911918640137
AH,0.4,669.8447907498946,0.0,31.517744064331055
AH (PL),0.4,14470.254415043455,0.0,2894.460439682007
