butterfly_loss,lipschitz_g,epp_bound_bps,epp_actual_bps,tightness_ratio,bound_holds
0.0,67.27406311035156,57853.34108965301,5324.854088498512,10.864774908032519,True
0.0,94.0817642211914,80907.02633608859,1.865174681370263e-10,80907026336.0886,True
0.0,135.93075561523438,116895.69509549018,11090.61651279288,10.540053833856083,True
0.0,551.0098266601562,473849.177107537,29819.844821723258,15.890397147953829,True
0.0,165.21484375,142078.98656074685,24269.474322781032,5.854225957724249,True
0.0,326.3733825683594,280669.69276612246,29776.725797084004,9.42580774927269,True
0.0,276.8464050292969,238078.22449094293,20014.693058785335,11.895172401179535,True
0.0,345.4854431152344,297105.3963140226,15191.164048371667,19.55777683447959,True
0.0,44.8486442565918,38568.2652960777,6371.611639279901,6.053141258376595,True
0.0,580.5885620117188,499285.8548727486,20660.9966285321,24.165622977898977,True
0.0,334.1498107910156,287357.14902525407,21826.427097984008,13.16556061765124,True
0.0,434.33001708984375,373508.62223017943,25329.918920566357,14.745748827759298,True
0.0,74.74642181396484,64279.30819848158,11709.875635603257,5.48932458369103,True
0.0,342.45684814453125,294500.9105767023,28612.840466182803,10.292613588111593,True
0.0,349.6137390136719,300655.58638266096,30709.650029968358,9.790264170684551,True
